Price,Close,High,Low,Open,Volume
Ticker,MRF.NS,MRF.NS,MRF.NS,MRF.NS,MRF.NS
Date,,,,,
2019-12-20,63258.66796875,63876.4710331205,62953.808290966466,63571.01844668551,4087
2019-12-23,63175.0390625,63392.4001567876,62884.072038012746,63094.78325464305,3576
2019-12-24,63106.4453125,63392.40557709464,62945.879429975954,63110.66155230755,2205
2019-12-26,62640.17578125,63243.59407293411,62297.61793901561,63106.69029282329,3506
2019-12-27,65118.04296875,66070.75818193407,62700.05262573821,62796.77812979386,8889
2019-12-30,65726.125,66457.86745220427,64979.70321121629,65474.73942346663,9010
2019-12-31,65803.3984375,66050.12597526253,65269.37755395053,65471.46255173969,6007
2020-01-01,66179.1328125,66412.2195494942,65574.92399948565,65673.13757703404,4235
2020-01-02,66767.9140625,67178.03632762269,65739.60122910468,66179.12866230271,6603
2020-01-03,66054.546875,66930.72651770776,65723.74253785369,66864.60750266172,5527
2020-01-06,64988.5703125,65651.21358926759,64602.85802110839,65487.919560808084,10446
2020-01-07,64815.1171875,65986.68160778201,64582.875221293434,65226.71986059635,10835
2020-01-08,64356.25,64719.68760968565,63789.239276148895,64285.26757534134,7222
2020-01-09,66386.1328125,66616.58440416434,65000.32696161695,65277.30832157876,9491
2020-01-10,66957.515625,67559.0506606698,65802.66105179732,66194.97291238168,9439
2020-01-13,66484.359375,67360.63982649847,66219.77479261816,66955.88075360877,5981
2020-01-14,66166.2890625,66963.80158791608,65924.1265647437,66171.14858837913,8147
2020-01-15,65745.265625,66387.02534446299,65296.70113429748,66267.38179544485,7937
2020-01-16,66526.6953125,66616.57715879916,65373.53067808471,65970.7485403274,9044
2020-01-17,68762.3046875,69443.94819191188,66606.62037742704,66924.12492894822,22381
2020-01-20,67966.5234375,69662.44373929799,67701.89241058884,68511.41037857198,9587
2020-01-21,67390.5390625,68005.4667771662,67050.0157004101,67856.65831594702,3847
2020-01-22,67312.1640625,68253.47829986758,66984.78546018958,67915.18707748015,4575
2020-01-23,69323.5546875,69443.94227179774,67598.71752000427,67955.85779454494,9651
2020-01-24,69848.0703125,70263.04444358293,68947.92630297285,69058.04457375889,8680
2020-01-27,69750.84375,70039.18339898998,69226.68918930482,69731.64590814455,7624
2020-01-28,69309.71875,70435.95066241732,68791.21432544649,70024.29380134505,5883
2020-01-29,69813.53125,70039.17756458207,69443.94376091707,69533.22883146681,4712
2020-01-30,69263.984375,70039.17562710779,68948.90574022122,69978.66019207587,6362
2020-01-31,69121.28125,70039.18142870982,68767.56664283336,69294.14707668488,4805
2020-02-03,68910.8515625,69332.82422039093,67459.82210088403,68144.34088396652,6669
2020-02-04,71110.75,71327.86309319646,69096.72824992189,69096.72824992189,12327
2020-02-05,71815.7578125,72981.33114978609,71110.7544380316,71110.7544380316,10788
2020-02-06,71067.296875,72519.31858966942,70693.93492065449,72022.2983623996,5926
2020-02-07,70396.78125,71328.86486729294,69812.25843939483,71327.87281075794,5974
2020-02-10,72666.046875,72916.14584505465,69245.53714265053,70922.11246888376,29310
2020-02-11,70814.6640625,72916.13369716372,70546.11133794571,72618.51682493041,13405
2020-02-12,71106.5859375,72230.92682509951,70832.82488177586,71185.00489344295,5903
2020-02-13,70956.9765625,71395.31820385727,70337.88690731431,71395.31820385727,5184
2020-02-14,71228.8671875,71943.1478778541,70535.2181724684,71229.65773253489,7017
2020-02-17,70733.421875,71758.4176776012,70634.41774356387,71229.65160095345,3950
2020-02-18,69142.890625,70935.01510686116,68975.62133293037,70935.01510686116,9604
2020-02-19,69406.4921875,69880.56786036876,68950.82458661789,69734.5821610557,5731
2020-02-20,70230.109375,70669.70947386506,69199.91653792029,69406.4666557801,8466
2020-02-24,68330.453125,70327.8408668277,67958.85818003859,70327.8408668277,4295
2020-02-25,68587.171875,69247.3589473762,67958.72419308579,68553.98309112742,6211
2020-02-26,67601.5703125,68855.53591348902,67313.86183890703,68587.71590819453,5155
2020-02-27,67025.5859375,67799.9182833736,66203.38487197438,67641.2291372992,6856
2020-02-28,65868.5546875,66764.86084795943,64798.87167537622,65875.29785263693,11768
2020-03-02,65454.94921875,67061.75261708102,65033.01305872635,66362.42431864142,6419
2020-03-03,67205.421875,68016.60932438658,65081.63440324491,66271.16000765788,8202
2020-03-04,66523.4921875,67163.83715464949,65577.67406294591,66738.42865679837,8187
2020-03-05,66793.140625,67631.21535416823,66281.56687583891,66768.23741672076,5745
2020-03-06,65823.8671875,65974.72034302799,63353.94226367667,65864.39594207308,9851
2020-03-09,63754.05859375,65280.05268240282,62554.21286860986,65280.05268240282,9596
2020-03-11,63087.3671875,65168.23857395596,62207.52348933921,63692.694257301526,15621
2020-03-12,60076.7578125,62391.27265974619,57541.698748250565,61511.08386362557,17336
2020-03-13,65408.36328125,65776.08277302515,55587.23857877223,55587.23857877223,15213
2020-03-16,60810.703125,63394.92101844232,59832.49440313707,61510.08190213155,11325
2020-03-17,61649.671875,63246.05853605872,59873.17289762694,60810.7056363042,14677
2020-03-18,59447.66015625,62894.162604198726,58732.210129796884,62402.922882925304,12224
